T [r = 1.1 + s = 0.25],P(t)(N=100)[r = 1.1 + s = 0.25],P(t) (N=1000)[r = 1.1 + s = 0.25],P(t) (N=10000)[r = 1.1 + s = 0.25],T [r = -1.0 + s = -0.5],P(t)(N=100)[r = -1.0 + s = -0.5],P(t) (N=1000)[r = -1.0 + s = -0.5],P(t) (N=10000)[r = -1.0 + s = -0.5],T [r = -1.0 + s = -1.0],P(t)(N=100) [r = -1.0 + s = -1.0],P(t) (N=1000) [r = -1.0 + s = -1.0],P(t) (N=10000) [r = -1.0 + s = -1.0]
580.6,0.003084513024814643,0.8294689309814675,0.9948056111791528,27.32,0.004232016446472166,0.1776620792673333,0.5790305664964581,14.59,2.118403139302033e-13,2.124586091211958e-13,2.124647523028417e-13
585.71,0.00293203627118493,0.8281289578575055,0.9947623491253244,27.44,0.004131637639918049,0.1763188199647716,0.5776425593838896,14.64,1.916791070976495e-13,1.922404800734997e-13,1.922460577050916e-13
590.86,0.002785991082720352,0.8267806858528688,0.994718750328808,27.55,0.004041716653977169,0.1750964226257881,0.5763731425983233,14.68,1.769406876122046e-13,1.774603153820674e-13,1.774654782539744e-13
596.0500000000001,0.002646170106772546,0.8254241625775662,0.9946748148340457,27.67,0.003945851550594993,0.1737725616223184,0.5749915056559758,14.72,1.633355215742431e-13,1.638165048457139e-13,1.638212837644986e-13
601.29,0.002512119894047539,0.8240568286192081,0.9946304580373302,27.78,0.003859974014196886,0.1725678171885824,0.5737279147778792,14.77,1.47790599210474e-13,1.482272884387486e-13,1.482316272725617e-13
606.58,0.002383677699432791,0.8226787451111759,0.9945856799951981,27.9,0.003768419647673097,0.1712630743491579,0.5723526187702623,14.81,1.364268158532218e-13,1.368310219809686e-13,1.368350380773158e-13
611.91,0.002260905225154031,0.8212925720983014,0.9945405654055557,28.01,0.003686403740255705,0.1700757278912337,0.5710948270620045,14.86,1.234428412692818e-13,1.238098162431435e-13,1.238134624269073e-13
617.29,0.002143392706042773,0.8198957641749032,0.9944950296774182,28.13,0.003598966271001072,0.1687898271262984,0.569725842887802,14.9,1.139511840686098e-13,1.142908560647769e-13,1.142942309775627e-13
622.72,0.002030980278307931,0.8184883835842506,0.9944490728688202,28.25,0.003513602722990109,0.1675136487409041,0.5683601403361611,14.95,1.031062539974686e-13,1.034146327549882e-13,1.034176967507175e-13
628.2,0.001923509036063951,0.817070492964596,0.9944026950383313,28.36,0.003437132652623024,0.1663522966033092,0.5671111224259172,14.99,9.517829958450579e-14,9.546373030697976e-14,9.546656629986387e-14
