gamma,Re(eigenvalue 1),Re(eigenvalue 2),Im(eigenvalue 1),Im(eigenvalue 2)
1.274612244897959,-1.302157571907615,-0.9724546729903443,-0.02481484933538941,-0.17824381129861466
1.2806530612244897,-1.308092814904043,-0.9725602463204472,-0.024356373565422692,-0.17870228706858127
1.2866938775510204,-1.314026219166185,-0.9726676583848355,-0.02391272102828477,-0.17914593960571945
1.292734693877551,-1.319958051517617,-0.9727766423599342,-0.02348325134998296,-0.17957540928402105
1.2987755102040817,-1.3258885552395057,-0.9728869549645764,-0.023067359354528597,-0.1799913012794756
1.3048163265306123,-1.3318179521856581,-0.9729983743449542,-0.022664472618190313,-0.18039418801581386
1.3108571428571427,-1.3377464446861262,-0.9731106981710163,-0.022274049238206643,-0.1807846113957975
1.3168979591836736,-1.343674217263563,-0.9732237419201104,-0.021895575792709142,-0.18116308484129495
1.322938775510204,-1.3496014381833545,-0.9733373373268492,-0.02152856547160837,-0.18153009516239582
1.3289795918367346,-1.355528260855852,-0.9734513309808828,-0.02117255636075076,-0.18188610427325347
1.3350204081632653,-1.3614548251066934,-0.9735655830565719,-0.020827109863841946,-0.18223155077016207
1.341061224489796,-1.3673812583292468,-0.9736799661605491,-0.020491809248506666,-0.18256685138549755
1.3471020408163266,-1.373307676531497,-0.9737943642848295,-0.020166258304468516,-0.18289240232953552
1.3531428571428572,-1.3792341852882193,-0.9739086718546375,-0.01985008010322775,-0.18320858053077616
1.3591836734693878,-1.3851608806080373,-0.9740227928613512,-0.019542915849819556,-0.18351574478418453
1.3652244897959183,-1.3910878497238357,-0.9741366400720828,-0.01924442381828535,-0.18381423681571885
1.371265306122449,-1.3970151718140638,-0.9742501343083847,-0.01895427836340001,-0.18410438227060422
1.3773061224489795,-1.4029429186616136,-0.9743632037873657,-0.01867216900199645,-0.18438649163200782
1.3833469387755102,-1.4088711552562334,-0.9744757835192772,-0.0183977995579255,-0.1846608610760785
1.3893877551020408,-1.4147999403458038,-0.9745878147562372,-0.018130887365302373,-0.1849277732687018
1.3954285714285715,-1.4207293269412247,-0.974699244487347,-0.017871162525229717,-0.18518749810877433
1.4014693877551019,-1.4266593627791824,-0.9748100249759202,-0.017618367211663453,-0.18544029342234092
1.4075102040816327,-1.4325900907466176,-0.9749201133350152,-0.01737225502250735,-0.18568640561149674
1.4135510204081632,-1.438521549270337,-0.975029471137826,-0.017132590372396055,-0.185926070261608
1.419591836734694,-1.4444537726748614,-0.9751380640598322,-0.01689914792395672,-0.18615951271004738
1.4256326530612244,-1.4503867915112978,-0.9752458615499273,-0.01667171205463544,-0.18638694857936877
1.431673469387755,-1.4563206328597638,-0.9753528365279915,-0.016450076356436374,-0.18660858427756766
1.4377142857142857,-1.4622553206076363,-0.9754589651066494,-0.01623404316615772,-0.1868246174678463
1.4437551020408164,-1.4681908757056858,-0.9755642263351303,-0.016023423123919783,-0.18703523751008433
1.449795918367347,-1.4741273164039737,-0.975668601963374,-0.015818034757967905,-0.18724062587603618
1.4558367346938776,-1.4800646584691977,-0.9757720762246798,-0.015617704093905714,-0.1874409565400984
1.461877551020408,-1.4860029153850411,-0.9758746356353669,-0.015422264286664425,-0.18763639634733975
1.4679183673469387,-1.491942098536913,-0.975976268810026,-0.015231555273655682,-0.1878271053603483
1.4739591836734693,-1.4978822173823645,-0.9760769662911053,-0.015045423447677423,-0.18801323718632657
1.48,-1.503823279608348,-0.9761767203916518,-0.014863721348257366,-0.1881949392857467
1.4860408163265306,-1.5097652912763655,-0.9762755250501649,-0.014686307370221746,-0.18837235326378243
1.4920816326530613,-1.5157082569564946,-0.9763733756965665,-0.014513045488368688,-0.18854561514563517
1.498122448979592,-1.52165217985116,-0.9764702691284317,-0.014343804997212472,-0.18871485563679158
1.5041632653061223,-1.5275970619094728,-0.9765662033966491,-0.014178460264841042,-0.18888020036916298
1.5102040816326532,-1.5335429039328718,-0.9766611776997818,-0.014016890500000939,-0.18904177013400325
1.5162448979591836,-1.5394897056727483,-0.9767551922864357,-0.013858979531587448,-0.1891996811024167
1.5222857142857142,-1.5454374659206789,-0.9768482483650349,-0.013704615599777575,-0.18935404503422626
1.5283265306122449,-1.5513861825918331,-0.976940348020412,-0.013553691158097783,-0.18950496947590623
1.5343673469387755,-1.5573358528020815,-0.9770314941366942,-0.013406102685767373,-0.18965255794823688
1.5404081632653062,-1.563286472939291,-0.9771216903260154,-0.01326175050970498,-0.1897969101242991
1.5464489795918368,-1.5692380387292402,-0.9772109408625962,-0.013120538635627378,-0.18993812199837667
1.5524897959183672,-1.575190545296572,-0.9772992506217955,-0.012982374587708302,-0.19007628604629578
1.558530612244898,-1.5811439872211501,-0.9773866250237475,-0.012847169256300776,-0.19021149137770332
1.5645714285714287,-1.5870983585901712,-0.977473069981257,-0.01271483675325982,-0.19034382388074422
1.5706122448979594,-1.5930536530463426,-0.9775585918516168,-0.01258529427443206,-0.19047336635957213
1.5766530612244898,-1.599009863832428,-0.9776431973920616,-0.012458461968907644,-0.19060019866509648
1.5826938775510204,-1.6049669838324234,-0.9777268937185968,-0.012334262814655338,-0.1907243978193487
1.5887346938775508,-1.610925005609616,-0.9778096882679341,-0.012212622500186399,-0.19084603813381762
1.5947755102040817,-1.6168839214417556,-0.9778915887623263,-0.012093469311914498,-0.19096519132208956
1.6008163265306123,-1.6228437233535509,-0.9779726031770617,-0.011976734026900377,-0.19108192660710366
1.6068571428571428,-1.6288044031466873,-0.9780527397104559,-0.011862349810688965,-0.19119631082331512
1.6128979591836734,-1.6347659524275486,-0.978132006756125,-0.01175025211996448,-0.19130840851403974
1.618938775510204,-1.6407283626328049,-0.9782104128773992,-0.011640378609765998,-0.19141828202423827
1.624979591836735,-1.6466916250530312,-0.9782879667837039,-0.011532669045021371,-0.19152599158898276
1.6310204081632653,-1.6526557308544902,-0.9783646773087757,-0.011427065216171931,-0.19163159541783226
1.637061224489796,-1.6586206710992213,-0.9784405533905747,-0.011323510858673742,-0.19173514977533024
1.6431020408163264,-1.6645864367635514,-0.9785156040527743,-0.011221951576174123,-0.1918367090578298
1.649142857142857,-1.6705530187551467,-0.9785898383877112,-0.011122334767173567,-0.19193632586683051
1.6551836734693879,-1.6765204079287055,-0.9786632655406824,-0.011024609554994375,-0.1920340510790095
1.6612244897959185,-1.682488595100397,-0.9787358946955214,-0.010928726720887526,-0.1921299339131166
1.667265306122449,-1.6884575710611331,-0.9788077350613156,-0.010834638640119132,-0.19222402199388489
1.6733061224489796,-1.6944273265887528,-0.978878795860227,-0.010742299220886337,-0.1923163614131177
1.67934693877551,-1.7003978524592065,-0.9789490863163033,-0.010651663845921627,-0.19240699678808248
1.6853877551020409,-1.7063691394568061,-0.9790186156452338,-0.01056268931665184,-0.19249597131735197
1.6914285714285715,-1.7123411783836082,-0.9790873930449635,-0.010475333799785835,-0.1925833268342182
1.6974693877551021,-1.7183139600679962,-0.9791554276871062,-0.010389556776211804,-0.19266910385779212
